leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Valeriu Strelet,cb-359-4,Moldova,MLD,359,valeriu,strelet,
Gheorghe Brega,cb-359-5,Moldova,MLD,359,georghe,brega,
Pavel Filip,cb-359-6,Moldova,MLD,359,pavel,filip,
Vacariou,A2.9-5437,Romania,RUM,360,nicolae,vacaroiu,
Ciorbea,A2.9-5440,Romania,RUM,360,viktor,ciorbea,
Dejeu,A2.9-5443,Romania,RUM,360,gavril,dejeu,
Vasile,A2.9-5446,Romania,RUM,360,radu,vasile,
Athanasiu,A2.9-5449,Romania,RUM,360,alexandru,athansiu,
Isarescu,A2.9-5452,Romania,RUM,360,mugur,isarescu,
A. Nastase,A2.9-5455,Romania,RUM,360,adrian,nastase,
Eugen Bejinariu,A2.9-5458,Romania,RUM,360,eugen,bejinariu,
Traian Basescu,A2.9-5461,Romania,RUM,360,traian,basescu,
Vacariou,cb-360-001,Romania,RUM,360,nicolae,vacaroiu,
Traian Basescu,cb-360-002,Romania,RUM,360,traian,basescu,
Antonescu,A3.0-102,Romania,RUM,360,crin,antonescu,
Traian Basescu,cb-360-1,Romania,RUM,360,traian,basescu,
Iohannis,cb-360-2,Romania,RUM,360,klaus,iohannis,
Siimann,A2.9-5581,Estonia,EST,366,mart,siimann,
Laar,A2.9-5584,Estonia,EST,366,mart,laar,
Kallas,A2.9-5587,Estonia,EST,366,siim,kallas,
Parts,A2.9-5590,Estonia,EST,366,juhan,parts,
Ansip,A3.0-104,Estonia,EST,366,andrus,ansip,
Roivas,cb-366-1,Estonia,EST,366,taavi,roivas,
Ratas,cb-366-2,Estonia,EST,366,juri,ratas,
Godmanis,A2.9-5647,Latvia,LAT,367,ivars,godmanis,
Birkavs,A2.9-5650,Latvia,LAT,367,valdis,birkavs,
Gailis,A2.9-5653,Latvia,LAT,367,maris,gailis,
Skele,A2.9-5656,Latvia,LAT,367,andris,skele,
Krasts,A2.9-5659,Latvia,LAT,367,gunatr,krasts,
Kristopans,A2.9-5662,Latvia,LAT,367,vilis,kristopans,
Skele,A2.9-5665,Latvia,LAT,367,andris,skele,
Berzins,A2.9-5668,Latvia,LAT,367,andris,berzins,
Repse,A2.9-5671,Latvia,LAT,367,einars,repse,
Indulis Emsis,A2.9-5674,Latvia,LAT,367,indulis,emsis,
